ID,EXHIBIT SPACE,TITLE,Institution,Classification,ClassID,Institution ID,Conflict of Interest,coi_dict
45,INEE-32-HC,Collaborative Learning Approaches For Privacy Preserving Deep Learning Using Multi-institutional Data,Martinos Center for Biomedical Imaging,AI,1,23,,
46,INEE-33-HC,Image Quality And Higher Resolution Of Latest Monitor/TV Screens. Essential Toolkit For Radiologist In Image Preparation For Scientific Presentations.,Laquila University,Presentation & Teaching,5,22,,
47,INEE-34-CS,Chest Cinematic Rendering: An Interactive Universal Application Approach To Anatomy Education,Northwestern University,Presentation & Teaching,5,35,1,42
48,INEE-36-CS,Using The Open Health Imaging Foundation (OHIF) Framework To Build Web-based Imaging Applications,Radical Imaging,"Visualization, 3DP, AR, VR",11,40,,
49,INEE-37-CS,NCI Imaging Data Commons: Status Update,Brigham & Womens Hospital,Research,7,2,1,6
50,INEE-38-CS,Training Visuospatial And Visuomotor Skills For Ultrasound Imaging With A Game,Flensburg University of Applied Sciences,"UI, UX, Productivity",10,7,,
51,INEE-39-CS,: The Federated Tumor Segmentation Initiative: The First Real-world Large-scale Federation Focusing On Neurooncology ,University of Pennsylvania,AI,1,57,1,93
52,INEE-4,Radiomics Analysis Using The Image Biomarker Standardization Initiative (IBSI): Benchmarks And Guidelines,National Center For Tumour Diseases,"Standards, Coding, Ontologies",9,32,,
53,INEE-40-CS,MIDRC: Medical Imaging and Data Resource Center,University of Washington,Research,7,61,1,
54,INEE-5,Users' Feedback Vs. Apple Analytics Statistics: A Challenge Ahead For Medical And Educational Ios Developers ,Johns Hopkins University,"UI, UX, Productivity",10,20,1,25
55,INEE-6,Voice-triggered Macros - A Radiologist-friendly Method Of Increasing Productivity And Reducing Burnout ,SUNY Downstate Medical Center,"Reporting, Report Analysis, and Follow-up",6,43,,
56,INEE-7,Deep Learning Reconstructions: Diagnostic Impact,UT MD Anderson Cancer Center,AI,1,63,1,31
57,INEE-8,How Should Radiologists Use AI To Fight COVID-19 Pneumonia?,Nagoya Univ Graduate School of Medicine,Operations & practice improvement,4,30,,
58,INEE-9,Validation System For Mammography Using Deep Learning: Guarantee Of Appropriate Technique,Gunma Pref College of Health Sciences,AI,1,11,,
59,IREE-14,Alert The PERT: Leveraging Artificial Intelligence To Optimize Diagnosis And Management Of Acute Pulmonary Embolism Within A Large Urban Health System,Icahn School of Med At Mount Sinai,Operations & practice improvement,4,17,1,37
60,IREE-63,Real-time 3d Modeling And Volumetric Analysis Metrics From Pre- And Intra-procedural Images To Guide Tumor Ablations,Rhode Island Hospital,"Visualization, 3DP, AR, VR",11,41,,
61,MKEE-188,Deep Learning In Spine Health Assessment,University of Pennsylvania,AI,1,57,1,93
62,MKEE-67,How To Obtain Additional Bone Mineral Density Information From The Low-dose Chest CT Examination,First Affiliated Hosp of Xian Jiaotong Univ,Image segmentation and processing,3,6,,
63,MKEE-69,Opportunistic Assessment Of Sarcopenia By Ct And Mri,Hospital Israelita Albert Einstein,Image segmentation and processing,3,14,,
64,MSEE-21,"Emergence Of AI In Emergency Radiology: Applications, Approaches, Benefits &#38; Challenges",University of British Columbia,Operations & practice improvement,4,52,,
65,MSEE-43,"Optimising 3D Printed Physical Models From Imaging: Learning Points, Tips &#38; Tricks",Unknown,"Visualization, 3DP, AR, VR",11,78,,
66,MSEE-99,Artificial Intelligence (AI) In The Emergency Department: Incorporating Into The Work Flow And Clinical Applications,Lahey hospital and medical center,Operations & practice improvement,4,21,1,6
67,NPMEE-32,Why Has AI Not Replaced Radiologists?,Mayo Clinic,Operations & practice improvement,4,25,1,29
68,NPMEE-41,Programming Knowledge For The Radiology Resident: A Tool To Improve The Workflow,Santa Casa de Misericordia de Sao Paulo,Operations & practice improvement,4,42,,
69,NREE-152,Tips And Tricks For Application Development Using Pretrained Medical AI Models.,Fujita Health University,AI,1,8,,
70,NREE-2,Voxel-based Brain Tumor Segmentation: 10 Steps Towards Volumetric Accuracy,Universidade Federal Fluminense,Image segmentation and processing,3,48,,
71,PDEE-11,Current And Emerging Applications Of Computer-assisted Reporting And Decision Support (CAR/DS) Tools In Pediatric Radiology,Massachusetts General Hospital,"Reporting, Report Analysis, and Follow-up",6,2,1,6
72,PHEE-10,"Various Applications Of Deep Learning-based Reconstruction At CT: Denoise, Dual-energy CT, And Super-resolution",Canon Medical Systems Corporation,AI,1,4,,
73,PHEE-17,Impact Of Deep Learning-based Adaptive Noise Reduction For MR Imaging.,"International University of Health and Welfare, Mita Hospital",AI,1,19,,
74,PHEE-2,Characteristics Of Deep Learning Reconstruction: Application In Clinical Practice,"Memorial Heart Center, Iwate Medical University",AI,1,28,,
75,ROEE-10-HC,The Application Of 3D Printing Personalized Surgical Guide Plate In Gynecologic Brachytherapy,The First Affiliated Hospital of Zhengzhou University,"Visualization, 3DP, AR, VR",11,46,,
76,ROEE-3,Radiomics And Artificial Intelligence To Predict Response To Chemotherapy In Primary Brain Tumors,University of Mississippi Medical Center,Image segmentation and processing,3,56,,
