ID,EXHIBIT SPACE,TITLE,Institution,Classification,ClassID,Institution ID
13,CHEE-74,Radiogenomics In Lung Cancer: New Approaches Toward Diagnosis And Treatment In The Precision Medicine Era,Hospital Sirio-Libanes,Image segmentation and processing,#ERROR!,#ERROR!
14,GIEE-61,Artificial Intelligence In Crohn&#8217;s Disease Imaging: From Concept To Clinical Application,University of Michigan,AI,#ERROR!,#ERROR!
15,GIEE-65,Radiogenomics In Hepatobiliary Cancers,Mayo Clinic Arizona,Image segmentation and processing,#ERROR!,#ERROR!
16,GUEE-31,Structured Reporting Of Metastasis Reporting And Data System For Prostate Cancer (Meta-RADS-P): Integration With AI,Peking University First Hospital,"Reporting, Report Analysis, and Follow-up",#ERROR!,#ERROR!
17,HNEE-28,Low-dose Head CT Using Deep Learning Reconstruction: Comparison Of Gray-white Matter Differentiation With Normal-dose Head CT,Ohara General Hospital,AI,#ERROR!,#ERROR!
18,HNEE-78-HC,Application Of 3d Printing Personalized Fenestration Surgical Guide Plate In Maxillary Bone Osteopenia,The First Affiliated Hospital of Zhengzhou University,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
19,INEE-1,Volume Sweep Imaging: A New Horizon In Teleradiology,University of Rochester,Operations & practice improvement,#ERROR!,#ERROR!
20,INEE-10,Real World Evidence: What Do Radiologist Need To Know?,Guys and St Thomas Hospital,Research,#ERROR!,#ERROR!
21,INEE-11,Overcoming Data Shift: The Challenge To Translating AI To Clinical Practice,University of Rochester,Operations & practice improvement,#ERROR!,#ERROR!
22,INEE-12,Outsmarting AI: What Role Can The Radiologist Play In The Making And Deployment Of Artificial Intelligence Applications,University Hospitals Cleveland Medical Center,Operations & practice improvement,#ERROR!,#ERROR!
23,INEE-13,Structured Reporting And Natural Language Processing: A Successful Marriage,University Of Pisa Radiology,"Reporting, Report Analysis, and Follow-up",#ERROR!,#ERROR!
24,INEE-14,Establishing A Hospital-based Quality Control System For 3D Printed Anatomic Models,Montefiore Medical Center,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
25,INEE-15,Onboarding To The RSNA-ACR 3D Printing Registry,MD Anderson Cancer Center,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
26,INEE-16,Establishing A 3D Imaging Laboratory Within A Publicly-funded Academic Clinical Center In A Low-resource Country,Hospital Pereira Rossell,Operations & practice improvement,#ERROR!,#ERROR!
27,INEE-17,Not So Smart - What To Consider If You Think The AI Has Made The Wrong Call,Yale New Haven Hospital,Operations & practice improvement,#ERROR!,#ERROR!
28,INEE-18,RadLex For Semantics And Interoperability In Imaging Workflows,University of Pennsylvania,"Standards, Coding, Ontologies",#ERROR!,#ERROR!
29,INEE-19,Basic Python For Advanced Radiologists,UNIFESP,Research,#ERROR!,#ERROR!
30,INEE-2,Applications Of Artificial Intelligence In Cardiac MRI,University of California San Diego,AI,#ERROR!,#ERROR!
31,INEE-20,Radiomic For Dummies : Image Texture Analysis And Much More &#8943; ,Institut Gustave Roussy,Image segmentation and processing,#ERROR!,#ERROR!
32,INEE-21,3D Printing And Augmented Reality (mixed Reality): A Combination Of Two Promises Technologies For Image-guided Neurosurgery.,NEXT Laboratory - PUC - RJ,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
33,INEE-22,Applications Of Domain-Inspired Radiomics And Deep Learning In Neuroradiology,Newark Beth Israel Medical Center,Image segmentation and processing,#ERROR!,#ERROR!
34,INEE-23,3d Printing In Gynecological Microanatomy And Pathology Using Microtomography,NEXT Laboratory - PUC - RJ,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
35,INEE-24,Clinical Implementation Of Deep Learning Models In A Large Multicenter Mammography Practice: A Practical Guide To Establish Robust Infrastructure For Continuous Learning,Massachusetts General Hospital,Operations & practice improvement,#ERROR!,#ERROR!
36,INEE-25,Extended Reality And Arterial Intelligence For Precision Telemedicine And Spatial Education,Teikyo University Okinaga Research Institute,Operations & practice improvement,#ERROR!,#ERROR!
37,INEE-26,A New Jungle Is Sprouting. It&#8217;S Not Entirely Radiologist Friendly. How AI Algorithms Mark-up Findings On Chest Radiographs?,Massachusetts General Hospital,AI,#ERROR!,#ERROR!
38,INEE-27,Quality Management Considerations For Hospital-based Anatomical 3D Printing,Mayo Clinic,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
39,INEE-28,"Strengths, Weaknesses, Opportunities, And Threats (swot) Analysis Of Ai Algorithms In Abdominal Radiology",University of Alabama Birmingham,Operations & practice improvement,#ERROR!,#ERROR!
40,INEE-29,"3D Slicer: An Open Source Software Platform For Medical Image Analysis, 3D Visualization, And Image-Guided Therapy",Brigham & Womens Hospital,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
41,INEE-29-HC,Use Of 3d Printed Patient Specific Vascular Phantoms To Optimize The Neuro-interventionalist Mechanical Thrombectomy Approaches,University of South Florida,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
42,INEE-3,Undergraduate Medical Student Radiology Teaching During Covid-19: What Has Changed And What Will Continue Post-pandemic?,Beth Israel Deaconess Medical Centre,Presentation & Teaching,#ERROR!,#ERROR!
43,INEE-30-HC,"Move Away HIPAA And GDPR, Here Comes CrypTFlow - Secure AI Inferencing Without Data Sharing","CARING, MAHAJAN IMAGING",Security,#ERROR!,#ERROR!
44,INEE-31,Continual Learning For Diagnostic Radiology,University Hospital Cologne,Presentation & Teaching,#ERROR!,#ERROR!
45,INEE-32-HC,Collaborative Learning Approaches For Privacy Preserving Deep Learning Using Multi-institutional Data,Martinos Center for Biomedical Imaging,AI,#ERROR!,#ERROR!
46,INEE-33-HC,Image Quality And Higher Resolution Of Latest Monitor/TV Screens. Essential Toolkit For Radiologist In Image Preparation For Scientific Presentations.,Laquila University,Presentation & Teaching,#ERROR!,#ERROR!
47,INEE-34-CS,Chest Cinematic Rendering: An Interactive Universal Application Approach To Anatomy Education,Northwestern University,Presentation & Teaching,#ERROR!,#ERROR!
48,INEE-36-CS,Using The Open Health Imaging Foundation (OHIF) Framework To Build Web-based Imaging Applications,Radical Imaging,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
49,INEE-37-CS,NCI Imaging Data Commons: Status Update,Brigham & Womens Hospital,Research,#ERROR!,#ERROR!
50,INEE-38-CS,Training Visuospatial And Visuomotor Skills For Ultrasound Imaging With A Game,Flensburg University of Applied Sciences,"UI, UX, Productivity",#ERROR!,#ERROR!
51,INEE-39-CS,: The Federated Tumor Segmentation Initiative: The First Real-world Large-scale Federation Focusing On Neurooncology ,University of Pennsylvania,AI,#ERROR!,#ERROR!
52,INEE-4,Radiomics Analysis Using The Image Biomarker Standardization Initiative (IBSI): Benchmarks And Guidelines,National Center For Tumour Diseases,"Standards, Coding, Ontologies",#ERROR!,#ERROR!
53,INEE-40-CS,MIDRC: Medical Imaging and Data Resource Center,University of Washington,Research,#ERROR!,#ERROR!
54,INEE-5,Users' Feedback Vs. Apple Analytics Statistics: A Challenge Ahead For Medical And Educational Ios Developers ,Johns Hopkins University,"UI, UX, Productivity",#ERROR!,#ERROR!
55,INEE-6,Voice-triggered Macros - A Radiologist-friendly Method Of Increasing Productivity And Reducing Burnout ,SUNY Downstate Medical Center,"Reporting, Report Analysis, and Follow-up",#ERROR!,#ERROR!
56,INEE-7,Deep Learning Reconstructions: Diagnostic Impact,UT MD Anderson Cancer Center,AI,#ERROR!,#ERROR!
57,INEE-8,How Should Radiologists Use AI To Fight COVID-19 Pneumonia?,Nagoya Univ Graduate School of Medicine,Operations & practice improvement,#ERROR!,#ERROR!
58,INEE-9,Validation System For Mammography Using Deep Learning: Guarantee Of Appropriate Technique,Gunma Pref College of Health Sciences,AI,#ERROR!,#ERROR!
59,IREE-14,Alert The PERT: Leveraging Artificial Intelligence To Optimize Diagnosis And Management Of Acute Pulmonary Embolism Within A Large Urban Health System,Icahn School of Med At Mount Sinai,Operations & practice improvement,#ERROR!,#ERROR!
60,IREE-63,Real-time 3d Modeling And Volumetric Analysis Metrics From Pre- And Intra-procedural Images To Guide Tumor Ablations,Rhode Island Hospital,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
61,MKEE-188,Deep Learning In Spine Health Assessment,University of Pennsylvania,AI,#ERROR!,#ERROR!
62,MKEE-67,How To Obtain Additional Bone Mineral Density Information From The Low-dose Chest CT Examination,First Affiliated Hosp of Xian Jiaotong Univ,Image segmentation and processing,#ERROR!,#ERROR!
63,MKEE-69,Opportunistic Assessment Of Sarcopenia By Ct And Mri,Hospital Israelita Albert Einstein,Image segmentation and processing,#ERROR!,#ERROR!
64,MSEE-21,"Emergence Of AI In Emergency Radiology: Applications, Approaches, Benefits &#38; Challenges",University of British Columbia,Operations & practice improvement,#ERROR!,#ERROR!
65,MSEE-43,"Optimising 3D Printed Physical Models From Imaging: Learning Points, Tips &#38; Tricks",Unknown,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
66,MSEE-99,Artificial Intelligence (AI) In The Emergency Department: Incorporating Into The Work Flow And Clinical Applications,Lahey hospital and medical center,Operations & practice improvement,#ERROR!,#ERROR!
67,NPMEE-32,Why Has AI Not Replaced Radiologists?,Mayo Clinic,Operations & practice improvement,#ERROR!,#ERROR!
68,NPMEE-41,Programming Knowledge For The Radiology Resident: A Tool To Improve The Workflow,Santa Casa de Misericordia de Sao Paulo,Operations & practice improvement,#ERROR!,#ERROR!
69,NREE-152,Tips And Tricks For Application Development Using Pretrained Medical AI Models.,Fujita Health University,AI,#ERROR!,#ERROR!
70,NREE-2,Voxel-based Brain Tumor Segmentation: 10 Steps Towards Volumetric Accuracy,Universidade Federal Fluminense,Image segmentation and processing,#ERROR!,#ERROR!
71,PDEE-11,Current And Emerging Applications Of Computer-assisted Reporting And Decision Support (CAR/DS) Tools In Pediatric Radiology,Massachusetts General Hospital,"Reporting, Report Analysis, and Follow-up",#ERROR!,#ERROR!
72,PHEE-10,"Various Applications Of Deep Learning-based Reconstruction At CT: Denoise, Dual-energy CT, And Super-resolution",Canon Medical Systems Corporation,AI,#ERROR!,#ERROR!
73,PHEE-17,Impact Of Deep Learning-based Adaptive Noise Reduction For MR Imaging.,"International University of Health and Welfare, Mita Hospital",AI,#ERROR!,#ERROR!
74,PHEE-2,Characteristics Of Deep Learning Reconstruction: Application In Clinical Practice,"Memorial Heart Center, Iwate Medical University",AI,#ERROR!,#ERROR!
75,ROEE-10-HC,The Application Of 3D Printing Personalized Surgical Guide Plate In Gynecologic Brachytherapy,The First Affiliated Hospital of Zhengzhou University,"Visualization, 3DP, AR, VR",#ERROR!,#ERROR!
76,ROEE-3,Radiomics And Artificial Intelligence To Predict Response To Chemotherapy In Primary Brain Tumors,University of Mississippi Medical Center,Image segmentation and processing,#ERROR!,#ERROR!
